name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"Design Integrity, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=114003,http://www.designintegrity.com,Greater Chicago Area,Design,29 employees on LinkedIn,114003
Industrial Design Fabrication,https://www.linkedin.com/sales/accounts/insights?companyId=578083,http://www.idfi.com,"Sioux City, Iowa Area",Design,25 employees on LinkedIn,578083
Industrial Design Outreach (iDo),https://www.linkedin.com/sales/accounts/insights?companyId=1128855,http://www.industrialdesignoutreach.org,United States,Design,1 employees on LinkedIn,1128855
M Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=480407,http://www.idbym.com,Greater Los Angeles Area,Design,6 employees on LinkedIn,480407
Industrial Design and Emotion,https://www.linkedin.com/sales/accounts/insights?companyId=11139671,http://idande.com/,Greater New York City Area,Design,0 employees on LinkedIn,11139671
Industrial Design Svc,https://www.linkedin.com/sales/accounts/insights?companyId=4025122,http://www.idsincorp.com,,Design,0 employees on LinkedIn,4025122
Design Works International,https://www.linkedin.com/sales/accounts/insights?companyId=3519507,http://www.designworksintl.com,Greater New York City Area,Design,14 employees on LinkedIn,3519507
"Industrial Design Services, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=17967038,http://www.idsincorp.com,"Spokane, Washington Area",Mechanical or Industrial Engineering,4 employees on LinkedIn,17967038
RIT Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=25046168,http://industrialdesign.cias.rit.edu/,,Design,1 employees on LinkedIn,25046168
JPH Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=2203176,http://www.jphid.com,Greater Chicago Area,Design,1 employees on LinkedIn,2203176
Design Concepts,https://www.linkedin.com/sales/accounts/insights?companyId=38784,http://www.design-concepts.com,"Madison, Wisconsin Area",Design,200 employees on LinkedIn,38784
"Design Solutions, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2308244,http://www.design-solutions.com,Greater Minneapolis-St. Paul Area,Design,22 employees on LinkedIn,2308244
