id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
28,Sysco,https://www.linkedin.com/sales/accounts/insights?companyId=5343,http://www.sysco.com,"Houston, Texas Area",Food,10001,"14,814 employees on LinkedIn",5343
29,Nike,https://www.linkedin.com/sales/accounts/insights?companyId=2029,http://jobs.nike.com/,"Portland, Oregon Area",Sporting Goods,10001,"56,202 employees on LinkedIn",2029
27,Apple,https://www.linkedin.com/sales/accounts/insights?companyId=162479,http://www.apple.com/,San Francisco Bay Area,Consumer Electronics,10001,"153,922 employees on LinkedIn",162479
26,The Coca-Cola Company,https://www.linkedin.com/sales/accounts/insights?companyId=1694,http://www.coca-colacompany.com,Greater Atlanta Area,Food,10001,"50,136 employees on LinkedIn",1694
30,Motorola Mobility (a Lenovo Company),https://www.linkedin.com/sales/accounts/insights?companyId=1066,http://www.motorola.com/us/home,Greater Chicago Area,Consumer Electronics,1001-5000,"24,582 employees on LinkedIn",1066
31,PepsiCo,https://www.linkedin.com/sales/accounts/insights?companyId=1431,http://www.pepsico.com,Greater New York City Area,Food,10001,"105,881 employees on LinkedIn",1431
32,Amazon Lab126,https://www.linkedin.com/sales/accounts/insights?companyId=208137,http://www.lab126.com,San Francisco Bay Area,Consumer Electronics,1001-5000,"3,516 employees on LinkedIn",208137
33,The Kraft Heinz Company,https://www.linkedin.com/sales/accounts/insights?companyId=164197,http://www.kraftheinzcompany.com,Greater Chicago Area,Food,10001,"13,057 employees on LinkedIn",164197
34,Campbell Soup Company,https://www.linkedin.com/sales/accounts/insights?companyId=4513,http://www.campbellsoupcompany.com,Greater Philadelphia Area,Food,10001,"3,972 employees on LinkedIn",4513
35,Mars,https://www.linkedin.com/sales/accounts/insights?companyId=1544,http://www.mars.com,Washington D.C. Metro Area,Food,10001,"24,093 employees on LinkedIn",1544
36,HARMAN International,https://www.linkedin.com/sales/accounts/insights?companyId=6419,http://www.harman.com,Greater New York City Area,Consumer Electronics,10001,"10,243 employees on LinkedIn",6419
37,Dr Pepper Snapple Group,https://www.linkedin.com/sales/accounts/insights?companyId=231770,http://www.drpeppersnapplegroup.com/,Dallas/Fort Worth Area,Food,10001,"5,206 employees on LinkedIn",231770
38,Under Armour,https://www.linkedin.com/sales/accounts/insights?companyId=14140,http://www.underarmour.com,"Baltimore, Maryland Area",Sporting Goods,10001,"7,957 employees on LinkedIn",14140
39,Sony Electronics,https://www.linkedin.com/sales/accounts/insights?companyId=1253,http://www.sonyjobs.com,Greater San Diego Area,Consumer Electronics,5001-10000,"7,791 employees on LinkedIn",1253
40,Constellation Brands,https://www.linkedin.com/sales/accounts/insights?companyId=13421,http://www.cbrands.com,"Rochester, New York Area",Food,5001-10000,"3,506 employees on LinkedIn",13421
41,US Foods,https://www.linkedin.com/sales/accounts/insights?companyId=166714,http://www.usfoods.com,Greater Chicago Area,Food,10001,"13,630 employees on LinkedIn",166714
43,Ingredion Incorporated,https://www.linkedin.com/sales/accounts/insights?companyId=16530,http://www.ingredion.com,United States,Food,10001,"4,052 employees on LinkedIn",16530
42,Bose Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=4030,http://www.bose.com/,Greater Boston Area,Consumer Electronics,5001-10000,"7,625 employees on LinkedIn",4030
44,Anheuser-Busch,https://www.linkedin.com/sales/accounts/insights?companyId=4510,http://www.anheuser-busch.com/careers.html,Greater St. Louis Area,Food,10001,"5,538 employees on LinkedIn",4510
45,New Balance,https://www.linkedin.com/sales/accounts/insights?companyId=8274,http://www.newbalance.com,Greater Boston Area,Sporting Goods,5001-10000,"4,431 employees on LinkedIn",8274
46,GoPro,https://www.linkedin.com/sales/accounts/insights?companyId=631686,http://www.gopro.com,San Francisco Bay Area,Consumer Electronics,1001-5000,"1,493 employees on LinkedIn",631686
47,MillerCoors,https://www.linkedin.com/sales/accounts/insights?companyId=204489,http://www.millercoors.com,Greater Chicago Area,Food,5001-10000,"6,818 employees on LinkedIn",204489
48,Canon USA,https://www.linkedin.com/sales/accounts/insights?companyId=2253872,http://usa.canon.com,Greater New York City Area,Consumer Electronics,1001-5000,"2,466 employees on LinkedIn",2253872
49,Samsung Electronics America,https://www.linkedin.com/sales/accounts/insights?companyId=1447520,http://www.samsung.com/us/,Greater New York City Area,Consumer Electronics,1001-5000,"5,105 employees on LinkedIn",1447520
50,Logitech,https://www.linkedin.com/sales/accounts/insights?companyId=4328,http://www.logitech.com,San Francisco Bay Area,Consumer Electronics,5001-10000,"4,593 employees on LinkedIn",4328
51,Garmin International,https://www.linkedin.com/sales/accounts/insights?companyId=9240,http://www.garmin.com,"Kansas City, Missouri Area",Consumer Electronics,10001,"5,193 employees on LinkedIn",9240
52,Danone North America,https://www.linkedin.com/sales/accounts/insights?companyId=10015,http://www.danonenorthamerica.com/,Greater New York City Area,Food,5001-10000,"1,728 employees on LinkedIn",10015
53,"Sonos, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=27333,http://www.sonos.com,"Santa Barbara, California Area",Consumer Electronics,1001-5000,"1,571 employees on LinkedIn",27333
54,Specialized Bicycle Components,https://www.linkedin.com/sales/accounts/insights?companyId=166083,http://www.specialized.com,United States,Sporting Goods,1001-5000,"1,293 employees on LinkedIn",166083
55,Burton Snowboards,https://www.linkedin.com/sales/accounts/insights?companyId=10996,https://www.burton.com/us/en/work-for-us,"Burlington, Vermont Area",Sporting Goods,501-1000,750 employees on LinkedIn,10996
56,Trek Bicycle,https://www.linkedin.com/sales/accounts/insights?companyId=17224,http://jobs.jobvite.com/trek-bicycle/,"Madison, Wisconsin Area",Sporting Goods,1001-5000,"1,514 employees on LinkedIn",17224
57,TaylorMade Golf Company,https://www.linkedin.com/sales/accounts/insights?companyId=12764,http://taylormadegolf.com/careers,Greater San Diego Area,Sporting Goods,1001-5000,"1,223 employees on LinkedIn",12764
58,Callaway Golf,https://www.linkedin.com/sales/accounts/insights?companyId=8217,http://www.callawaygolf.com,United States,Sporting Goods,1001-5000,"1,571 employees on LinkedIn",8217
59,Dolby Laboratories,https://www.linkedin.com/sales/accounts/insights?companyId=6229,http://www.dolby.com,San Francisco Bay Area,Consumer Electronics,1001-5000,"1,918 employees on LinkedIn",6229
60,Compass Group USA,https://www.linkedin.com/sales/accounts/insights?companyId=307513,http://Compass-usa.com,"Charlotte, North Carolina Area",Food,10001,"4,834 employees on LinkedIn",307513
