name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"Design Integrity, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=114003,http://www.designintegrity.com,Greater Chicago Area,Design,29 employees on LinkedIn,114003
Industrial Design Fabrication,https://www.linkedin.com/sales/accounts/insights?companyId=578083,http://www.idfi.com,"Sioux City, Iowa Area",Design,25 employees on LinkedIn,578083
Design Works International,https://www.linkedin.com/sales/accounts/insights?companyId=3519507,http://www.designworksintl.com,Greater New York City Area,Design,14 employees on LinkedIn,3519507
Design Concepts,https://www.linkedin.com/sales/accounts/insights?companyId=38784,http://www.design-concepts.com,"Madison, Wisconsin Area",Design,200 employees on LinkedIn,38784
"Design Solutions, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2308244,http://www.design-solutions.com,Greater Minneapolis-St. Paul Area,Design,22 employees on LinkedIn,2308244
Design Central,https://www.linkedin.com/sales/accounts/insights?companyId=28928,http://www.designcentral.com/,"Columbus, Ohio Area",Design,54 employees on LinkedIn,28928
Box Clever - Industrial Design   Brand Strategy,https://www.linkedin.com/sales/accounts/insights?companyId=2775886,http://www.bxclvr.com,San Francisco Bay Area,Design,12 employees on LinkedIn,2775886
TXS Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=122399,http://www.txsdesign.com,Dallas/Fort Worth Area,Design,12 employees on LinkedIn,122399
Industrial Accessories Company,https://www.linkedin.com/sales/accounts/insights?companyId=258630,http://www.iac-intl.com,"Kansas City, Missouri Area",Mechanical or Industrial Engineering,76 employees on LinkedIn,258630
Kaleidoscope Innovation and Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=18232,http://kascope.com,"Cincinnati, Ohio Area",Design,181 employees on LinkedIn,18232
fuseproject,https://www.linkedin.com/sales/accounts/insights?companyId=53904,http://fuseproject.com,San FranciscoBay Area,Design,111 employees on LinkedIn,53904
Goddard Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=143794,http://www.goddardtech.com,GreaterBoston Area,Mechanical or Industrial Engineering,94 employees on LinkedIn,143794
